,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
40,RJ Barrett,SG,23,TOT,44,44,31.2,7.0,14.7,.474,1.5,4.5,.343,5.4,10.2,.531,.526,3.7,4.8,.756,0.9,4.4,5.3,2.9,0.5,0.4,1.9,2.2,19.1
41,RJ Barrett,SG,23,NYK,26,26,29.5,6.3,14.9,.423,1.7,5.0,.331,4.7,9.9,.469,.478,4.0,4.8,.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2
42,RJ Barrett,SG,23,TOR,18,18,33.7,7.9,14.3,.550,1.4,3.8,.368,6.5,10.6,.616,.599,3.2,4.9,.652,1.1,5.7,6.8,3.6,0.7,0.4,2.0,2.8,20.4
43,Charles Bassey,C,23,SAS,19,0,10.8,1.5,2.1,.725,0.0,0.1,.000,1.5,2.1,.744,.725,0.3,0.3,.833,1.2,2.8,4.0,1.1,0.4,0.9,0.8,1.6,3.3
44,Emoni Bates,SF,20,CLE,10,0,7.6,0.6,2.5,.240,0.5,2.0,.250,0.1,0.5,.200,.340,0.1,0.2,.500,0.1,0.9,1.0,0.6,0.1,0.2,0.1,0.5,1.8
45,Keita Bates-Diop,SF,28,TOT,40,8,15.0,1.6,3.8,.430,0.5,1.6,.313,1.1,2.2,.517,.497,0.7,0.9,.722,0.8,1.8,2.5,0.9,0.6,0.5,0.3,0.8,4.4
46,Keita Bates-Diop,SF,28,PHO,39,8,15.3,1.6,3.8,.427,0.5,1.6,.313,1.1,2.2,.512,.493,0.7,0.9,.722,0.8,1.8,2.6,0.9,0.6,0.5,0.3,0.8,4.5
47,Keita Bates-Diop,SF,28,BRK,1,0,4.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
48,Nicolas Batum,PF,35,TOT,34,27,24.9,2.1,4.0,.519,1.3,2.9,.454,0.8,1.1,.684,.681,0.3,0.4,.643,1.2,2.6,3.9,2.3,0.7,0.7,0.6,2.0,5.7
49,Nicolas Batum,PF,35,LAC,3,0,18.0,1.0,2.7,.375,0.7,2.3,.286,0.3,0.3,1.000,.500,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7
50,Nicolas Batum,PF,35,PHI,31,27,25.5,2.2,4.1,.528,1.4,2.9,.467,0.8,1.2,.676,.693,0.3,0.5,.643,1.4,2.6,4.0,2.4,0.6,0.7,0.6,2.0,6.0
51,Bradley Beal,SG,30,PHO,29,29,33.6,7.3,14.8,.493,1.7,4.6,.358,5.7,10.2,.554,.549,2.4,3.1,.775,0.9,3.5,4.4,4.7,0.9,0.3,2.5,2.7,18.7
52,Malik Beasley,SG,27,MIL,52,52,29.6,4.1,8.7,.469,2.9,6.4,.447,1.2,2.3,.529,.633,0.3,0.5,.640,0.7,3.3,4.0,1.4,0.7,0.1,0.7,2.0,11.4
53,MarJon Beauchamp,SF,23,MIL,39,1,14.4,1.8,3.7,.476,0.7,1.7,.388,1.1,2.0,.551,.566,0.4,0.6,.667,0.5,1.8,2.3,0.7,0.3,0.2,0.6,1.3,4.6
54,Jules Bernard,SG,24,WAS,6,0,4.7,0.5,2.0,.250,0.2,1.3,.125,0.3,0.7,.500,.292,0.0,0.0,,0.3,0.5,0.8,0.8,0.2,0.2,0.3,0.7,1.2
55,Dāvis Bertāns,PF,31,TOT,17,0,6.7,0.8,2.2,.378,0.8,2.1,.400,0.0,0.1,.000,.568,0.8,0.9,.933,0.1,0.6,0.7,0.6,0.3,0.2,0.1,0.7,3.3
56,Dāvis Bertāns,PF,31,OKC,15,0,6.1,0.7,1.7,.385,0.7,1.6,.417,0.0,0.1,.000,.577,0.9,1.0,.933,0.1,0.5,0.7,0.6,0.2,0.2,0.1,0.7,2.9
57,Dāvis Bertāns,PF,31,CHO,2,0,11.5,2.0,5.5,.364,2.0,5.5,.364,0.0,0.0,,.545,0.0,0.0,,0.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,6.0
58,Patrick Beverley,PG,35,TOT,49,5,19.4,2.2,5.1,.430,0.8,2.3,.333,1.4,2.8,.511,.506,1.0,1.3,.810,0.6,2.4,3.0,3.1,0.5,0.4,1.0,1.8,6.2
59,Patrick Beverley,PG,35,PHI,47,5,19.6,2.2,5.1,.432,0.7,2.3,.321,1.5,2.8,.523,.504,1.1,1.3,.810,0.6,2.4,3.1,3.1,0.5,0.4,1.0,1.8,6.3
60,Patrick Beverley,PG,35,MIL,2,0,15.5,2.0,5.0,.400,1.5,2.5,.600,0.5,2.5,.200,.550,0.0,0.0,,0.0,1.0,1.0,4.0,0.5,0.0,1.0,2.5,5.5
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Saddiq Bey,SF,24,ATL,53,41,32.5,4.6,10.8,.423,1.8,5.6,.314,2.8,5.2,.542,.505,2.6,3.2,.827,2.6,4.0,6.6,1.5,0.9,0.1,0.8,1.5,13.5
63,Goga Bitadze,C,24,ORL,44,31,18.9,2.5,4.1,.619,0.0,0.2,.200,2.5,3.9,.643,.624,1.1,1.6,.662,2.2,3.5,5.7,1.5,0.6,1.4,0.7,2.1,6.2
64,Onuralp Bitim,SG,24,CHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Bismack Biyombo,C,31,MEM,30,27,23.9,2.2,4.0,.563,0.0,0.0,,2.2,4.0,.563,.563,0.7,1.5,.478,1.9,4.5,6.4,1.7,0.3,1.1,1.3,2.7,5.2
66,Anthony Black,PG,20,ORL,48,29,18.3,1.8,3.7,.494,0.5,1.3,.381,1.3,2.4,.558,.563,0.8,1.3,.656,0.5,1.7,2.2,1.6,0.5,0.4,0.9,1.9,5.0
67,Leaky Black,SF,24,CHO,22,3,9.9,0.8,1.8,.436,0.3,0.7,.467,0.5,1.1,.417,.526,0.4,0.6,.643,0.4,1.4,1.7,0.8,0.2,0.3,0.2,0.7,2.3
68,Bogdan Bogdanović,SG,31,ATL,52,8,28.9,6.1,14.1,.432,3.1,8.4,.372,2.9,5.7,.520,.543,1.7,1.9,.908,0.6,2.6,3.2,2.8,1.3,0.3,1.1,2.4,17.0
69,Bojan Bogdanović,PF-SF,34,TOT,30,27,32.6,7.0,14.9,.467,3.0,7.3,.408,4.0,7.7,.522,.566,2.8,3.6,.771,0.4,2.9,3.4,2.4,0.8,0.2,2.1,2.0,19.7
70,Bojan Bogdanović,PF,34,DET,28,27,32.9,7.1,15.2,.468,3.1,7.4,.415,4.0,7.8,.518,.569,2.9,3.7,.779,0.5,2.9,3.4,2.5,0.8,0.1,2.3,2.0,20.2
71,Bojan Bogdanović,SF,34,NYK,2,0,28.0,5.0,11.5,.435,1.5,5.5,.273,3.5,6.0,.583,.500,1.5,2.5,.600,0.0,3.5,3.5,0.5,0.5,0.5,0.5,2.0,13.0
72,Bol Bol,PF,24,PHO,16,0,8.8,1.7,2.5,.675,0.2,0.6,.300,1.5,1.9,.800,.713,0.3,0.4,.833,0.7,2.0,2.7,0.5,0.3,0.6,0.6,0.9,3.9
73,Marques Bolden,C,25,MIL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0
